ID,ZLECENIE_ID,ADRESAT_ID,RODZAJ_PRZESYLKI,WYMIAR_X,WYMIAR_Y,WYMIAR_Z,WAGA,DATA_NADANIA
195,117,8387,paleta,32,38,54,43861,2021-03-06
196,118,1282,paleta,80,58,79,107252,2021-07-26
197,119,8410,paleta,47,50,73,57736,2021-07-28
198,120,13044,list,33,29,7,408,2021-05-01
199,120,19698,paleta,21,46,37,155496,2021-05-01
200,120,7490,paczka,73,35,96,22144,2021-05-01
201,121,15342,list,10,21,15,794,2021-05-06
202,122,3728,paczka,21,24,96,22545,2021-09-09
203,123,19901,paleta,59,56,27,159498,2021-02-01
204,123,15518,paleta,47,50,21,49353,2021-02-01
205,123,8633,list,37,12,17,476,2021-02-01
206,124,6414,list,10,45,12,37,2021-08-01
207,124,16174,paleta,56,40,94,163798,2021-08-01
208,124,14403,list,20,36,8,132,2021-08-01
209,125,7070,paczka,48,14,66,32100,2021-06-28
210,126,11446,paczka,16,87,49,3989,2021-02-21
211,127,9848,paczka,76,69,12,12365,2021-06-05
212,127,2537,paczka,47,68,3,24709,2021-06-05
213,127,18601,paleta,68,52,77,123299,2021-06-05
214,128,17216,paleta,30,87,73,76036,2021-07-19
215,129,13652,paleta,81,82,51,131365,2021-02-21
216,130,6913,paczka,59,21,94,5133,2021-06-12
217,130,13464,paleta,37,91,35,94610,2021-06-12
218,131,5860,list,26,6,17,708,2021-04-08
219,132,16670,paleta,95,82,30,199025,2021-07-12
220,132,16195,list,13,16,4,252,2021-07-12
221,132,13295,paczka,91,8,3,15300,2021-07-12
222,133,7580,paleta,63,60,92,127310,2021-10-07
223,134,11966,paleta,70,63,47,65712,2021-06-23
224,134,7507,list,26,18,11,696,2021-06-23
225,135,11741,paleta,61,93,35,123866,2021-02-07
226,136,14785,paczka,55,33,81,25974,2021-02-14
227,137,18678,paleta,68,75,79,77626,2021-07-16
228,137,7948,paczka,46,54,11,10462,2021-07-16
229,137,16149,paleta,58,54,87,69404,2021-07-16
230,137,19282,list,40,23,16,690,2021-07-16
231,138,13864,paleta,84,23,63,193157,2021-06-26
232,138,19792,paczka,16,33,54,31255,2021-06-26
233,138,9149,list,44,44,7,957,2021-06-26
234,138,9865,list,31,31,15,378,2021-06-26
235,139,12938,paczka,40,64,3,8669,2021-05-10
236,140,5794,list,40,49,11,914,2021-01-06
237,141,4629,list,9,22,18,737,2021-08-02
238,142,15376,paleta,61,27,20,154709,2021-01-08
239,143,14326,paleta,46,39,20,78285,2021-07-19
240,144,19167,list,32,39,12,87,2021-10-02
241,145,6377,list,28,24,5,71,2021-08-30
242,145,15074,paczka,48,77,72,14284,2021-08-30
243,145,6451,paleta,26,65,27,59410,2021-08-30
244,145,12258,paczka,62,60,81,36805,2021-08-30
245,146,16092,paleta,63,58,62,31603,2021-09-10
246,147,441,list,5,30,18,734,2021-05-27
247,148,11383,paczka,95,77,76,44958,2021-08-13
248,148,964,list,40,26,2,510,2021-08-13
249,148,6739,paleta,47,91,85,161611,2021-08-13
250,148,4665,list,44,8,15,265,2021-08-13
251,149,11464,paczka,90,39,91,35057,2021-02-10
252,150,14520,paczka,88,60,24,4387,2021-03-01
253,151,2007,list,22,19,9,344,2021-07-18
254,151,17916,paleta,36,71,82,53074,2021-07-18
255,152,15759,list,37,38,9,367,2021-05-02
256,152,18227,paleta,95,44,96,83955,2021-05-02
257,153,19487,list,39,18,1,14,2021-03-28
258,154,13537,list,12,20,10,352,2021-04-30
259,154,7168,paleta,40,52,45,34918,2021-04-30
260,154,14737,paczka,29,16,94,39734,2021-04-30
261,155,18372,paleta,53,95,65,161407,2021-01-06
262,156,3321,list,18,30,8,129,2021-09-22
263,157,9322,paleta,81,32,93,186222,2021-04-20
264,157,16381,paczka,5,30,57,15395,2021-04-20
265,158,5266,list,47,5,4,607,2021-01-13
266,159,5170,paczka,15,97,26,9636,2021-02-13
267,159,2505,list,19,20,10,535,2021-02-13
268,159,5697,paleta,84,29,43,177233,2021-02-13
269,160,9412,paczka,83,9,26,15736,2021-07-12
270,160,7804,paczka,75,15,28,19372,2021-07-12
271,160,6946,list,34,17,17,807,2021-07-12
272,161,608,paczka,86,28,26,36504,2021-09-14
273,162,4213,paczka,67,40,40,28825,2021-10-27
274,163,3302,list,49,24,8,899,2021-09-10
275,163,9328,paczka,72,35,52,35959,2021-09-10
276,163,234,list,28,41,3,347,2021-09-10
277,164,6819,paleta,49,35,76,156769,2021-10-17
278,165,18146,paczka,15,43,96,2441,2021-08-18
279,166,11433,paleta,73,44,91,185201,2021-01-09
280,167,8013,paleta,40,86,46,91621,2021-07-07
281,168,6741,paczka,24,75,62,19156,2021-06-19
282,169,10463,paczka,43,92,58,14362,2021-09-16
283,170,8897,paczka,31,51,39,4374,2021-04-14
284,170,3550,paczka,83,85,82,6387,2021-04-14
285,170,4284,paczka,70,92,75,42281,2021-04-14
286,171,17806,paleta,55,76,71,26536,2021-09-25
287,171,2890,list,12,40,1,258,2021-09-25
288,171,12506,paczka,85,23,10,30236,2021-09-25
289,171,8037,paleta,25,83,34,107416,2021-09-25
290,172,7564,paczka,98,73,55,19417,2021-08-01
291,173,16797,paleta,76,31,74,92304,2021-01-13
292,174,10276,list,7,33,15,128,2021-01-04
293,175,13412,list,26,27,6,756,2021-09-04
294,176,8641,list,14,36,11,641,2021-04-10
295,176,8080,list,15,43,7,864,2021-04-10
296,176,17538,paczka,90,11,12,33677,2021-04-10
297,176,19422,list,22,9,8,990,2021-04-10
298,177,590,paleta,98,87,37,65532,2021-01-18
299,178,1454,paleta,29,82,36,46351,2021-07-04
300,179,7957,list,30,25,6,312,2021-04-07
301,180,5425,paczka,41,83,86,662,2021-08-12
302,181,1054,paczka,77,67,37,43031,2021-04-07
303,182,16192,paczka,18,84,99,39484,2021-01-02
304,183,14044,paleta,51,43,84,102815,2021-08-09
305,183,14877,paczka,68,69,61,31158,2021-08-09
306,183,18763,paleta,83,67,90,80590,2021-08-09
307,183,18301,list,43,19,8,365,2021-08-09
308,184,13804,paleta,72,24,26,57484,2021-10-14
309,185,16536,paczka,87,42,56,14407,2021-10-23
310,186,8942,paleta,62,83,71,163770,2021-03-15
311,186,13020,paleta,59,38,69,193326,2021-03-15
312,186,811,list,32,19,5,595,2021-03-15
313,186,12184,paleta,40,67,58,112641,2021-03-15
314,187,5695,paczka,25,77,76,2601,2021-04-17
315,188,3338,list,37,27,11,436,2021-05-14
316,189,10571,list,27,23,11,91,2021-01-09
317,190,7444,list,48,17,16,544,2021-08-24
318,191,548,paczka,18,39,8,33475,2021-10-20
319,192,6172,list,34,18,2,875,2021-10-03
320,192,11890,list,26,37,3,829,2021-10-03
321,192,6284,paczka,56,77,21,37592,2021-10-03
322,193,14193,list,33,44,7,509,2021-04-10
323,194,8753,paleta,20,58,43,67444,2021-05-28
324,195,13533,paleta,64,24,82,69754,2021-02-18
325,196,13109,list,24,10,2,14,2021-04-02
326,197,3461,paczka,81,58,22,30442,2021-07-25
327,198,10148,paczka,90,41,32,45589,2021-07-20
328,199,18545,paczka,13,23,14,10218,2021-10-01
329,199,16838,paleta,48,33,98,69331,2021-10-01
330,199,1189,paczka,87,56,24,25229,2021-10-01
331,199,13020,paczka,74,29,19,20551,2021-10-01
332,200,11552,paczka,55,93,31,16584,2021-01-22
333,200,19903,paleta,39,39,34,101743,2021-01-22
334,201,15917,list,28,9,19,524,2021-03-18
335,201,17194,paleta,80,67,51,39157,2021-03-18
336,202,18041,list,26,10,17,498,2021-02-12
337,202,1848,list,21,26,4,351,2021-02-12
338,202,19980,paleta,95,82,65,122556,2021-02-12
339,203,17716,paczka,62,69,70,37829,2021-02-12
340,204,13331,paczka,40,37,88,12653,2021-04-29
341,205,7309,paleta,59,39,28,169495,2021-06-02
342,205,18812,paleta,55,79,63,144750,2021-06-02
343,206,14429,paczka,88,34,3,39396,2021-02-22
344,207,4249,paczka,90,88,25,2630,2021-03-28
345,208,11401,list,18,16,1,328,2021-09-06
346,209,5663,paczka,70,6,27,45293,2021-08-16
347,210,1521,list,41,36,10,783,2021-05-08
348,211,9979,paczka,11,37,27,9693,2021-05-15
349,212,4163,paleta,94,48,29,36756,2021-07-14
350,213,4952,paczka,63,70,95,25351,2021-01-09
351,213,6676,list,30,22,2,79,2021-01-09
352,213,11117,list,27,36,9,668,2021-01-09
353,213,6404,paleta,49,77,60,168079,2021-01-09
354,214,19529,paleta,56,39,23,138151,2021-07-03
355,215,2763,paczka,53,88,82,3625,2021-10-17
356,216,2922,paczka,70,83,58,37540,2021-03-29
357,216,8670,paleta,49,42,24,124735,2021-03-29
358,217,3014,paczka,16,53,52,5081,2021-08-07
359,217,5328,paczka,95,97,80,48671,2021-08-07
360,218,14732,paleta,29,47,99,52559,2021-09-10
361,218,3720,paczka,26,60,89,11708,2021-09-10
362,219,781,paleta,59,45,80,190980,2021-08-06
363,220,6679,list,15,11,18,380,2021-08-16
364,221,13101,paczka,48,88,28,10389,2021-06-12
365,222,11298,paleta,50,29,85,191333,2021-03-22
366,223,12606,paczka,87,99,29,24533,2021-04-13
367,224,5174,paleta,20,71,49,48793,2021-08-16
368,224,11401,paczka,85,50,37,5052,2021-08-16
369,225,7117,paczka,90,53,9,5666,2021-04-06
370,225,7432,paczka,40,6,85,14422,2021-04-06
371,225,3724,paleta,57,41,77,156030,2021-04-06
372,225,19382,paczka,78,63,37,22754,2021-04-06
373,226,11631,paczka,48,9,89,11704,2021-03-29
374,227,4026,paczka,44,58,91,2136,2021-01-03
375,227,10616,paczka,82,79,33,30511,2021-01-03
376,227,2004,paczka,95,25,48,16420,2021-01-03
377,227,6993,paczka,18,93,78,30979,2021-01-03
378,228,9236,paczka,39,53,12,38193,2021-08-17
379,228,4580,paleta,85,36,20,54460,2021-08-17
380,228,8189,list,18,6,12,444,2021-08-17
381,228,18732,paczka,72,14,8,23090,2021-08-17
382,229,10658,paleta,61,88,68,94397,2021-09-08
383,230,7126,paleta,70,48,68,28347,2021-07-15
384,230,18061,paczka,14,80,76,39756,2021-07-15
385,230,5862,paleta,66,76,51,89620,2021-07-15
386,231,15274,list,20,21,10,804,2021-10-16
387,232,10794,paleta,27,97,61,197960,2021-01-30
388,232,2136,list,8,36,10,655,2021-01-30
389,232,6750,list,37,41,10,502,2021-01-30
390,233,3795,paleta,91,24,28,191248,2021-06-28
391,233,8619,paczka,97,12,27,47960,2021-06-28
392,233,8407,list,41,44,18,420,2021-06-28
393,234,10053,list,47,8,11,927,2021-05-02
394,235,17668,paleta,43,38,26,180162,2021-09-16
395,236,5756,paczka,83,12,73,28618,2021-10-24
396,237,11335,paleta,34,58,54,128007,2021-03-01
397,238,13001,paczka,81,13,68,3406,2021-08-02
398,239,5175,paczka,44,74,44,37109,2021-01-17
399,239,19727,list,42,6,8,35,2021-01-17
400,240,950,list,44,9,18,27,2021-07-25
401,240,2526,list,33,24,1,439,2021-07-25
402,240,14317,paczka,22,24,45,41770,2021-07-25
403,241,16625,paleta,97,89,80,114905,2021-04-23
404,242,4954,paczka,63,91,19,21142,2021-05-30
405,243,18681,paleta,73,61,62,149328,2021-02-02
406,243,7045,list,23,46,7,373,2021-02-02
407,243,70,paleta,54,57,40,165773,2021-02-02
408,243,7484,paleta,70,42,72,67312,2021-02-02
409,244,4472,paczka,32,83,27,11371,2021-06-11
410,244,12505,paleta,46,94,84,27662,2021-06-11
411,245,14308,paleta,58,78,51,174811,2021-10-18
412,245,19082,list,20,5,9,122,2021-10-18
413,246,4535,list,29,27,6,1,2021-04-04
414,246,7503,paleta,76,75,42,169579,2021-04-04
415,246,7646,paleta,32,48,84,141359,2021-04-04
416,246,4299,paleta,55,81,30,176641,2021-04-04
417,247,18394,paczka,95,85,92,46208,2021-05-30
418,247,6204,paleta,31,85,74,49451,2021-05-30
419,247,14064,list,38,43,4,178,2021-05-30
420,247,18413,paleta,62,35,69,172727,2021-05-30
421,248,12823,paleta,26,27,69,98976,2021-01-03
422,248,18241,list,48,34,17,230,2021-01-03
423,248,2629,list,31,12,5,857,2021-01-03
424,248,19664,paczka,72,26,71,38509,2021-01-03
425,249,713,paczka,98,83,82,23093,2021-07-10
426,250,13001,list,21,37,6,196,2021-08-18
427,250,15425,paczka,56,93,95,44553,2021-08-18
428,250,19875,list,11,48,10,237,2021-08-18
429,250,1972,paleta,42,87,77,149570,2021-08-18
430,251,3242,paleta,35,37,35,173153,2021-09-22
431,251,1618,paczka,96,28,84,43171,2021-09-22
432,251,11729,paczka,66,24,40,38647,2021-09-22
433,252,5710,paleta,44,57,33,104498,2021-10-05
434,253,16854,list,5,41,11,381,2021-10-21
435,253,14807,paleta,22,71,38,163671,2021-10-21
436,254,16530,paczka,14,84,62,14311,2021-05-26
437,254,408,paczka,67,98,14,38617,2021-05-26
438,254,17578,list,29,25,4,602,2021-05-26
439,254,7461,list,28,33,6,256,2021-05-26
440,255,9590,list,5,42,5,697,2021-09-08
441,256,3472,paczka,63,44,95,2792,2021-10-18
442,257,12446,list,14,41,1,481,2021-07-05
443,258,7379,paczka,83,93,75,16617,2021-08-11
444,259,1851,list,38,9,10,965,2021-08-29
445,260,13017,list,42,12,15,537,2021-07-30
446,261,19736,paczka,57,54,79,5456,2021-10-03
447,261,1546,paleta,93,92,44,170634,2021-10-03
448,262,17717,paczka,87,64,50,48823,2021-01-13
449,262,12878,paczka,32,12,37,17023,2021-01-13
450,262,7692,paleta,67,81,56,25245,2021-01-13
451,263,13984,paczka,23,25,96,26572,2021-01-17
452,264,3980,list,6,19,12,899,2021-05-22
453,264,8130,list,30,30,19,276,2021-05-22
454,264,12922,list,44,10,4,619,2021-05-22
455,264,10708,paczka,28,62,39,45762,2021-05-22
456,265,19581,paleta,38,44,66,192362,2021-09-28
457,266,2106,paleta,58,64,39,87019,2021-03-21
458,267,3144,paczka,87,10,46,5442,2021-02-27
459,268,7158,paleta,99,20,43,39583,2021-04-13
460,269,902,paleta,57,50,67,61608,2021-06-26
461,269,572,paleta,93,87,71,182444,2021-06-26
462,269,13999,paczka,30,5,48,36343,2021-06-26
463,270,5016,list,48,15,1,48,2021-02-11
464,270,7013,paleta,51,67,31,163218,2021-02-11
465,270,10584,list,13,35,15,801,2021-02-11
466,271,9618,paczka,19,62,83,47224,2021-08-20
467,271,822,list,33,31,13,572,2021-08-20
468,272,8772,list,49,20,9,387,2021-07-15
469,273,7105,list,34,27,17,34,2021-03-10
470,273,9290,list,21,45,19,431,2021-03-10
471,273,6018,paleta,72,95,45,95483,2021-03-10
472,274,12006,paczka,42,36,94,13592,2021-06-01
473,275,4533,paczka,55,98,75,21849,2021-09-29
474,275,167,list,31,32,13,314,2021-09-29
475,276,5695,paczka,46,84,45,47061,2021-08-14
476,277,3136,list,30,24,19,829,2021-04-23
477,277,19005,list,24,39,19,940,2021-04-23
478,277,12993,paczka,43,81,77,37167,2021-04-23
479,277,9107,paleta,42,93,67,147129,2021-04-23
480,278,10187,paczka,79,73,48,49080,2021-05-06
481,278,11101,paleta,67,23,57,151773,2021-05-06
482,278,12523,paleta,23,67,84,167057,2021-05-06
483,279,16295,paczka,99,48,86,26261,2021-04-11
484,280,1014,paleta,36,78,63,150418,2021-07-25
485,280,2373,paleta,70,88,87,175151,2021-07-25
486,280,16193,paczka,75,14,11,8694,2021-07-25
487,280,13548,paczka,34,52,61,12948,2021-07-25
488,281,4170,list,31,7,13,425,2021-04-06
489,282,14259,paczka,89,74,71,4709,2021-08-20
490,283,1444,paleta,57,62,96,137067,2021-01-26
491,284,3778,paczka,91,6,41,1366,2021-05-16
492,284,6644,paleta,67,24,59,115382,2021-05-16
493,284,19683,paleta,68,38,50,85006,2021-05-16
494,284,8878,list,27,19,9,211,2021-05-16
495,285,16687,paleta,95,40,67,72849,2021-01-08
496,285,19898,paleta,56,53,49,35890,2021-01-08
497,285,9794,paczka,67,31,55,30349,2021-01-08
498,286,3102,list,47,5,12,923,2021-05-21
499,286,19847,paleta,78,63,20,28095,2021-05-21
500,286,12796,list,42,16,8,325,2021-05-21
501,286,16628,paczka,32,36,54,20974,2021-05-21
502,287,9073,paleta,41,60,86,161840,2021-01-13
503,288,4988,list,8,12,12,261,2021-05-09
504,288,14512,paleta,66,63,59,154436,2021-05-09
505,288,15214,paleta,93,68,77,122312,2021-05-09
506,288,15948,list,37,37,6,648,2021-05-09
507,289,1390,paczka,8,19,42,3816,2021-01-05
508,290,15027,paczka,22,93,66,20788,2021-08-16
509,291,8336,paczka,95,92,4,23588,2021-01-30
510,291,7569,paczka,50,60,53,7830,2021-01-30
511,291,15671,paczka,98,18,46,6209,2021-01-30
512,292,1271,paczka,90,83,1,19892,2021-08-26
513,292,4120,paczka,19,37,23,21306,2021-08-26
514,292,11631,paleta,82,83,62,124239,2021-08-26
515,293,788,paleta,55,89,59,66234,2021-05-10
516,294,11246,list,34,18,10,507,2021-04-22
517,295,12562,list,42,14,18,276,2021-08-17
518,296,14184,paleta,84,28,67,43507,2021-06-16
519,296,15784,paczka,81,87,21,38779,2021-06-16
520,296,13682,paleta,48,69,84,106871,2021-06-16
521,296,12783,list,9,27,5,165,2021-06-16
522,297,2837,list,44,39,18,965,2021-04-18
523,297,1810,paleta,97,96,47,121792,2021-04-18
524,297,19823,list,35,8,18,856,2021-04-18
525,298,10421,paleta,80,57,77,107400,2021-01-10
526,298,10545,paczka,28,43,87,47042,2021-01-10
527,298,437,paczka,12,97,44,21752,2021-01-10
528,298,3091,list,26,37,7,183,2021-01-10
529,299,4458,list,27,29,4,369,2021-04-14
530,299,6246,paleta,95,73,30,162391,2021-04-14
531,300,13576,paczka,69,58,2,21283,2021-02-20
